"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0","10.61.68.21","13.35.129.101","TCP","66","42642  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1168959611 TSecr=2244880280"
"2","0.064068592","13.35.129.101","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  42642 [ACK] Seq=1 Ack=2 Win=1007 Len=0 TSval=2244925390 TSecr=1168914611"
"3","5.119979092","IntelCor_ee:09:17","IETF-VRRP-VRID_41","ARP","42","Who has 10.61.64.1? Tell 10.61.68.21"
"4","5.125034343","IETF-VRRP-VRID_41","IntelCor_ee:09:17","ARP","60","10.61.64.1 is at 00:00:5e:00:01:41"
"5","6.415991136","10.61.68.21","172.217.160.234","TCP","66","55852  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=276627676 TSecr=54509164"
"6","6.428133013","172.217.160.234","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  55852 [ACK] Seq=1 Ack=2 Win=986 Len=0 TSval=54554234 TSecr=276399028"
"7","13.055930150","10.61.68.21","140.82.113.26","TCP","66","36946  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=798662743 TSecr=1757372011"
"8","13.060845323","140.82.113.26","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  36946 [ACK] Seq=1 Ack=2 Win=974 Len=0 TSval=1757417281 TSecr=798617477"
"9","14.921686668","10.61.68.21","13.35.129.101","TCP","66","42642  >  443 [RST, ACK] Seq=2 Ack=1 Win=501 Len=0 TSval=1168974532 TSecr=2244925390"
"10","14.922567153","10.61.68.21","192.168.108.122","DNS","100","Standard query 0x0947 A d3cv4a9a9wh0bt.cloudfront.net OPT"
"11","14.983726273","192.168.108.122","10.61.68.21","DNS","164","Standard query response 0x0947 A d3cv4a9a9wh0bt.cloudfront.net A 13.35.129.89 A 13.35.129.101 A 13.35.129.201 A 13.35.129.227 OPT"
"12","14.984717252","10.61.68.21","13.35.129.89","TCP","74","42284  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3177504561 TSecr=0 WS=128"
"13","15.039310874","13.35.129.89","10.61.68.21","TCP","74","443  >  42284 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1363 WS=64 SACK_PERM=1 TSval=3200286761 TSecr=3177504561"
"14","15.039393716","10.61.68.21","13.35.129.89","TCP","66","42284  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3177504615 TSecr=3200286761"
"15","15.040033347","10.61.68.21","13.35.129.89","TLSv1.2","584","Client Hello"
"16","15.048563878","13.35.129.89","10.61.68.21","TCP","66","443  >  42284 [ACK] Seq=1 Ack=519 Win=64960 Len=0 TSval=3200286781 TSecr=3177504616"
"17","15.120277795","13.35.129.89","10.61.68.21","TLSv1.2","218","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"18","15.120342084","10.61.68.21","13.35.129.89","TCP","66","42284  >  443 [ACK] Seq=519 Ack=153 Win=64128 Len=0 TSval=3177504696 TSecr=3200286801"
"19","15.120624243","10.61.68.21","13.35.129.89","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"20","15.122622176","10.61.68.21","13.35.129.89","TLSv1.2","502","Application Data"
"21","15.141798762","13.35.129.89","10.61.68.21","TCP","66","443  >  42284 [ACK] Seq=153 Ack=570 Win=64960 Len=0 TSval=3200286861 TSecr=3177504696"
"22","15.141841833","13.35.129.89","10.61.68.21","TCP","66","443  >  42284 [ACK] Seq=153 Ack=1006 Win=64512 Len=0 TSval=3200286871 TSecr=3177504698"
"23","15.158098646","13.35.129.89","10.61.68.21","TLSv1.2","478","Application Data"
"24","15.203913085","10.61.68.21","13.35.129.89","TCP","66","42284  >  443 [ACK] Seq=1006 Ack=565 Win=64128 Len=0 TSval=3177504780 TSecr=3200286881"
"25","16.639992777","10.61.68.21","216.58.200.174","TCP","66","44686  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=586724431 TSecr=1176203839"
"26","16.666224113","216.58.200.174","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  44686 [ACK] Seq=1 Ack=2 Win=650 Len=0 TSval=1176248889 TSecr=586496251"
"27","17.798119448","172.217.160.234","10.61.68.21","TLSv1.2","122","[TCP ACKed unseen segment] , Application Data"
"28","17.798177002","10.61.68.21","172.217.160.234","TCP","66","[TCP Previous segment not captured] 55852  >  443 [ACK] Seq=2 Ack=57 Win=501 Len=0 TSval=276639058 TSecr=54565464"
"29","17.798201511","172.217.160.234","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  55852 [FIN, ACK] Seq=57 Ack=2 Win=986 Len=0 TSval=54565464 TSecr=276399028"
"30","17.798476495","10.61.68.21","172.217.160.234","TCP","66","55852  >  443 [FIN, ACK] Seq=2 Ack=58 Win=501 Len=0 TSval=276639058 TSecr=54565464"
"31","17.817043899","172.217.160.234","10.61.68.21","TCP","66","443  >  55852 [ACK] Seq=58 Ack=3 Win=986 Len=0 TSval=54565614 TSecr=276639058"
"32","20.751999075","10.61.68.21","172.217.166.3","TCP","66","48982  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=470444909 TSecr=2443649030"
"33","20.835594134","172.217.166.3","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  48982 [ACK] Seq=1 Ack=2 Win=1006 Len=0 TSval=2443694140 TSecr=470263386"
"34","22.072402298","140.82.113.26","10.61.68.21","TLSv1.2","90","[TCP ACKed unseen segment] , Application Data"
"35","22.072709696","10.61.68.21","140.82.113.26","TLSv1.2","94","[TCP Previous segment not captured] , Application Data"
"36","22.114076415","140.82.113.26","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  36946 [ACK] Seq=25 Ack=30 Win=974 Len=0 TSval=1757426291 TSecr=798671760"
"37","24.831991725","10.61.68.21","192.241.178.125","TCP","66","37582  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2577864825 TSecr=1993712639"
"38","24.866987305","192.241.178.125","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  37582 [ACK] Seq=1 Ack=2 Win=978 Len=0 TSval=1993759599 TSecr=2577817859"
"39","26.496235352","10.61.68.21","172.217.194.188","TLSv1.2","92","Application Data"
"40","26.517169435","172.217.194.188","10.61.68.21","TCP","66","443  >  35054 [ACK] Seq=1 Ack=27 Win=1008 Len=0 TSval=3087110722 TSecr=1439684216"
"41","26.607212675","172.217.194.188","10.61.68.21","TLSv1.2","92","Application Data"
"42","26.607258499","10.61.68.21","172.217.194.188","TCP","66","35054  >  443 [ACK] Seq=27 Ack=27 Win=501 Len=0 TSval=1439684327 TSecr=3087110812"
"43","28.241577245","216.58.200.174","10.61.68.21","TLSv1.2","122","[TCP ACKed unseen segment] , Application Data"
"44","28.242153751","10.61.68.21","216.58.200.174","TCP","66","[TCP Previous segment not captured] 44686  >  443 [FIN, ACK] Seq=2 Ack=57 Win=501 Len=0 TSval=586736033 TSecr=1176260449"
"45","28.247679368","216.58.200.174","10.61.68.21","TCP","66","[TCP ACKed unseen segment] 443  >  44686 [FIN, ACK] Seq=57 Ack=2 Win=650 Len=0 TSval=1176260449 TSecr=586496251"
"46","28.247732699","10.61.68.21","216.58.200.174","TCP","66","44686  >  443 [ACK] Seq=3 Ack=58 Win=501 Len=0 TSval=586736039 TSecr=1176260449"
"47","28.249495218","216.58.200.174","10.61.68.21","TCP","66","[TCP Out-Of-Order] 443  >  44686 [FIN, ACK] Seq=57 Ack=3 Win=650 Len=0 TSval=1176260499 TSecr=586736033"
"48","39.578422321","10.61.68.21","192.168.108.122","DNS","85","Standard query 0x7f27 A www.google.com OPT"
"49","39.641549833","192.168.108.122","10.61.68.21","DNS","101","Standard query response 0x7f27 A www.google.com A 216.58.200.164 OPT"
"50","39.641865418","10.61.68.21","216.58.200.164","TCP","74","39452  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=905079906 TSecr=0 WS=128"
"51","39.657586127","216.58.200.164","10.61.68.21","TCP","74","443  >  39452 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1363 WS=64 SACK_PERM=1 TSval=1035785998 TSecr=905079906"
"52","39.657621922","10.61.68.21","216.58.200.164","TCP","66","39452  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=905079921 TSecr=1035785998"
"53","39.657828998","10.61.68.21","216.58.200.164","TLSv1.3","642","Client Hello"
"54","39.659585310","216.58.200.164","10.61.68.21","TCP","66","443  >  39452 [ACK] Seq=1 Ack=577 Win=64896 Len=0 TSval=1035786008 TSecr=905079922"
